"ordre","code","nom","micro_competence_reference","lien","description","reference"
"13","UA.111.11","Identifier le contexte et les acteurs","DWB-D.111.1","","Analyser un support fonctionnel fourni afin d’identifier la finalité générale de l’application son domaine fonctionnel son périmètre et les différents acteurs concernés.","DWB-UA.111.11"
"14","UA.112.11","Comprendre le rôle des données dans une application","DWB-D.112.1","","Comprendre pourquoi une application informatique a besoin de données structurées et identifier les principales données nécessaires à son fonctionnement.","DWB-UA.112.11"
"11","UA.121.11","Manipuler les variables et les entrées-sorties","DWB-D.121.1","","Construire un traitement JavaScript simple permettant de stocker des valeurs recevoir des données et produire un résultat observable.","DWB-UA.121.11"
"10","UA.125.21","Déboguer un programme JavaScript","DWB-D.125.2","","Apprendre à trouver une erreur dans un programme JavaScript en l’exécutant ligne par ligne avec VS Code.","DWB-UA.125.21"
"2","UA.161.11","Partager un document Google Docs","DWB-D.161.1","https://solicode-web-mobile.github.io/autoformations-web/premiers-pas-web/google-slides-partage/","","DWB-UA.161.11"
"3","UA.161.12","Découvrir le Web et Internet","DWB-D.161.1","https://solicode-web-mobile.github.io/autoformations-web/premiers-pas-web/web-internet/","","DWB-UA.161.12"
"4","UA.161.13","Découvrir les langages du Web","DWB-D.161.1","","","DWB-UA.161.13"
"5","UA.161.14","Découvrir le métier de développeur","DWB-D.161.1","","","DWB-UA.161.14"
"1","UA.162.11","Apprendre à Solicode","DWB-D.162.1","","<div>&nbsp; Découvrir le parcours d'apprentissage basé sur la pratique, l'expérimentation&nbsp;</div><div>&nbsp; et la construction progressive (Tutoriels, Labs, Prototypes, Projet Fil Rouge&nbsp;</div><div>&nbsp; et Présentation) pour devenir un apprenant acteur de sa formation.</div>","DWB-UA.162.11"
