"ordre","titre","code","thematique","filiere_reference","objectifs_pedagogique","titre_prototype","description_prototype","contraintes_prototype","titre_projet","description_projet","contraintes_projet","remarques","date_debut","date_fin","jour_feries_vacances","reference","annee_formation_reference"
"1","Comprendre le projet et premiers traitements logiques","S1","","DWB","Découvrir le fonctionnement d’une application Web, le projet cible, son contexte, ses acteurs et les premières données, puis construire de premiers traitements JavaScript.","Identifier le contexte et les acteurs du Portfolio","Réaliser une première analyse du Portfolio de l’apprenant. Définir son contexte, identifier ses acteurs et préciser les principales fonctionnalités réalisées par chaque acteur.","<div>Livrables :&nbsp;</div><ul><li>✓ Contexte du Portfolio</li><li>✓ Liste des acteurs</li><li>✓ Actions principales de chaque acteur</li></ul>","Identifier le contexte et les acteurs de projet fil rouge","Réaliser une première analyse du projet fil rouge de l’apprenant. Définir son contexte, identifier ses acteurs et préciser les principales fonctionnalités réalisées par chaque acteur.","<div>Livrables :&nbsp;</div><ul><li>✓ Contexte</li><li>✓ Liste des acteurs</li><li>✓ Actions principales de chaque acteur</li></ul>","Découvrir le projet cible, un Blog personnel, comprendre sa finalité, son périmètre, ses acteurs et ses premières données, construire de premiers traitements JavaScript et découvrir les principaux outils de travail à travers des activités pratiques.","2026-09-07","2026-09-18","","DWB-S1","2026-2027"
"2","S2 — Page de détail d’un article — V1","S2","","DWB","Construire une première solution Web à partir d’un contexte existant, organiser les fichiers, réaliser les premiers traitements, manipuler les données, déboguer un programme et versionner le travail.","Construire la page de détail d'un article du Portfolio","Construire une première page Web statique pour le Portfolio de l’apprenant. Identifier les actions et les données, structurer la page HTML, et appliquer  des règles CSS.","<div>Livrables :&nbsp;</div><ul><li>✓ Page HTML structurée</li><li>✓ Règles CSS appliquées</li><li>✓ Dépôt Git initialisé</li></ul>","Construire la page de détail d'un article du projet fil rouge","Construire une première page Web statique pour le projet fil rouge de l’apprenant. Identifier les actions et les données, structurer la page HTML, et appliquer  des règles CSS.","<div>Livrables :&nbsp;</div><ul><li>✓ Page HTML structurée</li><li>✓ Règles CSS appliquées</li><li>✓ Dépôt Git initialisé</li></ul>","Construire une première page Web statique à partir du contexte du Blog personnel, identifier les actions et les données, structurer la page HTML, appliquer des règles CSS, réaliser des traitements JavaScript, déboguer le programme et versionner le travail avec Git et GitHub.","","","","DWB-S2","2026-2027"

